Program,Year,Cost_model,Avg_price,Enrollment,Completion_rate,Dropout_rate,Job_placement_rate,Avg_income_post_training,Training_duration_month,Delivery_mode,Region,Local_job_demand,Remote_job_demand,Total_job_demand,Talent_output,Employed_talent,Unemployed_talent,Total_revenue
ALX,2025,Free,0,38658,0.77,0.24,0.38,167498,9,Online,South East,3019,330,3349,29766,11311,18455,0
HNG,2022,Subsidized,79735,2933,0.49,0.48,0.45,338795,10,Online,North West,1182,2758,3940,1437,646,791,233862755
HNG,2025,Paid,165725,19618,0.71,0.28,0.79,353538,6,Online,South South,2988,6510,9498,13928,11003,2925,3251193050
HNG,2025,Free,0,43823,0.68,0.31,0.31,332801,5,Hybrid,South East,1578,7795,9373,29799,9237,20562,0
3MTT,2025,Paid,206530,15041,0.6,0.37,0.68,288261,7,Hybrid,South East,1600,4998,6598,9024,6136,2888,3106417730
HNG,2023,Subsidized,57065,27057,0.86,0.16,0.46,120397,8,Hybrid,North Central,437,1078,1515,23269,10703,12566,1544007705
3MTT,2025,Subsidized,83704,21743,0.7,0.28,0.45,128984,8,Online,North Central,2127,2895,5022,15220,6849,8371,1819976072
ALX,2024,Paid,401648,33659,0.76,0.27,0.34,368998,11,Online,South East,300,6159,6459,25580,8697,16883,13519070032
HNG,2022,Paid,397366,12337,0.56,0.46,0.62,104538,4,Online,North West,2790,4040,6830,6908,4282,2626,4902304342
3MTT,2023,Paid,473133,25946,0.42,0.6,0.36,103419,4,Online,North Central,663,5316,5979,10897,3922,6975,12275908818
HNG,2022,Paid,302982,2178,0.78,0.19,0.34,123585,11,Online,South West,3160,2893,6053,1698,577,1121,659894796
HNG,2023,Paid,118047,26605,0.46,0.53,0.75,241152,10,Online,South West,2775,5268,8043,12238,9178,3060,3140640435
3MTT,2024,Paid,121959,6030,0.61,0.36,0.36,245838,7,Hybrid,North Central,3863,5432,9295,3678,1324,2354,735412770
HNG,2022,Subsidized,82003,18175,0.53,0.47,0.45,296688,9,Online,North West,2260,4297,6557,9632,4334,5298,1490404525
HNG,2025,Subsidized,20854,25048,0.57,0.44,0.64,298164,11,Hybrid,South West,3610,402,4012,14277,9137,5140,522350992
ALX,2022,Paid,268229,2827,0.64,0.41,0.5,190078,2,Online,South East,4382,3597,7979,1809,904,905,758283383
3MTT,2024,Paid,212547,7046,0.76,0.27,0.47,294835,10,Online,North East,3019,4936,7955,5354,2516,2838,1497606162
ALX,2025,Free,0,39884,0.5,0.5,0.65,227718,11,Hybrid,North Central,3743,5176,8919,19942,12962,6980,0
HNG,2022,Subsidized,40932,30355,0.72,0.26,0.47,95151,4,Hybrid,South West,3291,1896,5187,21855,10271,11584,1242490860
ALX,2022,Subsidized,73351,48854,0.59,0.45,0.79,258047,3,Hybrid,South West,3334,3991,7325,28823,22770,6053,3583489754
3MTT,2022,Free,0,38967,0.52,0.46,0.67,208391,8,Online,North Central,4835,3304,8139,20262,13575,6687,0
ALX,2024,Subsidized,39830,17929,0.52,0.53,0.5,230810,3,Online,South West,1059,5800,6859,9323,4661,4662,714112070
3MTT,2025,Free,0,9507,0.54,0.41,0.62,267563,6,Hybrid,North West,1160,2527,3687,5133,3182,1951,0
3MTT,2022,Subsidized,65236,1199,0.83,0.15,0.49,348246,2,Hybrid,North West,227,2265,2492,995,487,508,78217964
3MTT,2023,Paid,465890,35163,0.44,0.53,0.64,98070,3,Online,North West,2637,1609,4246,15471,9901,5570,16382090070
HNG,2022,Free,0,40828,0.75,0.24,0.45,230262,11,Online,North East,2555,724,3279,30621,13779,16842,0
HNG,2024,Free,0,45591,0.8,0.21,0.65,150031,4,Online,South East,2874,2182,5056,36472,23706,12766,0
HNG,2024,Free,0,23177,0.7,0.25,0.32,264078,7,Online,South East,2760,7336,10096,16223,5191,11032,0
3MTT,2025,Free,0,22106,0.44,0.52,0.57,291810,8,Hybrid,South East,4464,4665,9129,9726,5543,4183,0
HNG,2023,Paid,186672,8811,0.54,0.45,0.34,112217,6,Hybrid,North Central,2031,1212,3243,4757,1617,3140,1644766992
3MTT,2023,Subsidized,36896,46675,0.67,0.35,0.63,194548,2,Hybrid,South South,4170,4999,9169,31272,19701,11571,1722120800
ALX,2022,Subsidized,79638,8630,0.52,0.47,0.68,89435,6,Online,North Central,2241,6069,8310,4487,3051,1436,687275940
HNG,2025,Free,0,30399,0.41,0.62,0.7,398717,6,Online,North East,2949,3451,6400,12463,8724,3739,0
ALX,2023,Subsidized,29823,42475,0.73,0.24,0.34,242049,2,Hybrid,North West,951,1887,2838,31006,10542,20464,1266731925
HNG,2024,Free,0,4500,0.81,0.22,0.61,118304,9,Hybrid,North West,4480,2644,7124,3645,2223,1422,0
ALX,2023,Subsidized,47350,27972,0.73,0.26,0.64,287869,3,Online,North Central,4074,3467,7541,20419,13068,7351,1324474200
HNG,2022,Subsidized,46092,11838,0.84,0.18,0.7,303992,5,Hybrid,South South,2604,3167,5771,9943,6960,2983,545637096
ALX,2022,Paid,185999,18455,0.59,0.44,0.47,141476,2,Online,South South,2426,6560,8986,10888,5117,5771,3432611545
ALX,2022,Subsidized,34397,42055,0.81,0.17,0.75,258352,5,Hybrid,South South,4271,4560,8831,34064,25548,8516,1446565835
ALX,2025,Subsidized,71934,32807,0.69,0.32,0.52,182795,10,Hybrid,North West,3736,3422,7158,22636,11770,10866,2359938738
3MTT,2024,Free,0,24744,0.65,0.31,0.57,89348,4,Online,South South,4430,7001,11431,16083,9167,6916,0
ALX,2025,Free,0,24125,0.82,0.22,0.72,363821,9,Hybrid,North Central,3093,7138,10231,19782,14243,5539,0
HNG,2023,Free,0,23056,0.44,0.61,0.49,237504,7,Hybrid,North Central,610,7694,8304,10144,4970,5174,0
3MTT,2022,Subsidized,39870,35078,0.79,0.22,0.51,304786,8,Hybrid,North West,4368,4948,9316,27711,14132,13579,1398559860
HNG,2025,Subsidized,50355,13616,0.81,0.21,0.64,141629,10,Online,South East,3540,7776,11316,11028,7057,3971,685633680
3MTT,2023,Free,0,49785,0.8,0.25,0.58,314286,6,Hybrid,South West,3384,4498,7882,39828,23100,16728,0
3MTT,2025,Paid,375987,44972,0.66,0.35,0.65,394782,2,Online,South West,3430,2903,6333,29681,19292,10389,16908887364
ALX,2022,Paid,441003,34621,0.88,0.16,0.53,146203,6,Hybrid,North East,4285,3919,8204,30466,16146,14320,15267964863
HNG,2025,Subsidized,53307,27855,0.58,0.4,0.53,397428,5,Online,South East,1024,3156,4180,16155,8562,7593,1484866485
HNG,2024,Free,0,45945,0.87,0.15,0.61,209473,11,Hybrid,South West,1115,2024,3139,39972,24382,15590,0
HNG,2022,Subsidized,28415,46818,0.48,0.53,0.49,362453,2,Online,North Central,1733,2352,4085,22472,11011,11461,1330333470
ALX,2024,Free,0,904,0.43,0.61,0.71,220932,7,Online,South South,3736,2924,6660,388,275,113,0
HNG,2023,Paid,244528,48712,0.63,0.33,0.78,399235,2,Online,North East,3519,6438,9957,30688,23936,6752,11911447936
ALX,2023,Subsidized,78017,43625,0.82,0.16,0.71,186884,10,Online,South South,4081,4873,8954,35772,25398,10374,3403491625
ALX,2024,Paid,181317,13551,0.89,0.12,0.62,105934,4,Online,North East,1431,4544,5975,12060,7477,4583,2457026667
HNG,2022,Paid,350875,5137,0.71,0.33,0.77,397623,2,Hybrid,North Central,3679,6171,9850,3647,2808,839,1802444875
3MTT,2023,Subsidized,34388,6069,0.56,0.45,0.42,327666,10,Online,North West,3545,6231,9776,3398,1427,1971,208700772
3MTT,2024,Paid,431868,10661,0.7,0.27,0.71,191195,11,Online,South West,623,2593,3216,7462,5298,2164,4604144748
HNG,2023,Free,0,26829,0.75,0.2,0.7,254293,9,Hybrid,North West,2978,4343,7321,20121,14084,6037,0
3MTT,2022,Subsidized,84291,14068,0.44,0.57,0.79,191317,11,Hybrid,South West,3387,7753,11140,6189,4889,1300,1185805788
3MTT,2023,Subsidized,35034,46891,0.47,0.55,0.72,118638,3,Hybrid,South West,2006,3286,5292,22038,15867,6171,1642779294
3MTT,2024,Free,0,10767,0.41,0.57,0.41,325885,10,Online,South South,3383,6368,9751,4414,1809,2605,0
HNG,2024,Free,0,27234,0.69,0.33,0.58,161264,4,Hybrid,North Central,2760,5837,8597,18791,10898,7893,0
HNG,2025,Subsidized,95703,11054,0.89,0.12,0.42,196421,7,Online,South East,3521,7186,10707,9838,4131,5707,1057900962
HNG,2023,Subsidized,33918,20619,0.85,0.11,0.56,346468,5,Hybrid,South West,567,6051,6618,17526,9814,7712,699355242
ALX,2025,Paid,338213,617,0.53,0.44,0.63,314936,3,Online,North West,1241,7179,8420,327,206,121,208677421
ALX,2025,Free,0,46087,0.52,0.44,0.61,321983,7,Online,South West,4334,7878,12212,23965,14618,9347,0
3MTT,2024,Paid,382272,46245,0.63,0.37,0.57,381953,9,Hybrid,South East,420,1542,1962,29134,16606,12528,17678168640
3MTT,2022,Free,0,28034,0.64,0.35,0.47,163524,3,Hybrid,South South,475,3730,4205,17941,8432,9509,0
3MTT,2023,Paid,486594,5915,0.76,0.19,0.69,337802,10,Online,South West,1414,5020,6434,4495,3101,1394,2878203510
